# Created from the data file from Mimmo using the preprocess script
# Only includes columns of relevance: time, flux, local_sky, and data quality flag
# Daniel Apai
1576.827289693,121.022110972,135.346481320,0
1576.848122984,118.769063486,135.654373170,0
1576.868956274,115.228036098,135.260391240,0
1576.889789563,116.107855564,135.291458130,0
1576.910622852,118.003171572,135.477783200,0
1576.931456140,120.994353677,135.215408330,0
1576.952289428,119.354130150,135.463455200,0
1576.973122715,118.592374294,135.158248900,0
1576.993956001,117.210914932,135.313140870,0
1577.014789287,117.570980480,135.302658080,0
1577.035622572,118.308801810,135.167297360,0
1577.056455856,115.402932287,135.343063350,0
1577.077289140,112.595297306,135.367004390,0
1577.098122423,111.245094171,135.410659790,0
1577.118955705,114.339601957,135.451782230,0
1577.139788987,116.299861089,135.816833500,0
1577.160622268,117.618757691,135.350875850,0
1577.181455548,116.887334745,135.279388430,0
1577.202288828,116.127987561,135.265457150,0
1577.223122107,117.920571684,135.214157100,0
1577.243955385,120.445845330,135.101104740,0
1577.264788663,114.728416652,135.538818360,0
1577.285621940,112.029993816,135.197814940,0
1577.306455216,111.652421906,135.327026370,0
1577.327288492,114.592480399,135.504394530,0
1577.348121767,114.290252448,135.636489870,0
1577.368955041,116.133742034,135.252044680,0
1577.389788314,113.692121889,135.746612550,0
1577.410621587,115.439536936,135.506347660,0
1577.431454859,117.372673230,135.309112550,0
1577.452288131,118.266937777,135.395248410,0
1577.473121402,116.218756412,135.586578370,0
1577.493954672,114.615956750,135.501266480,0
1577.514787941,115.619472599,135.521148680,0
1577.535621210,116.856235637,135.252807620,0
1577.556454478,116.201346357,135.610031130,0
1577.577287746,115.701606204,135.390335080,0
1577.598121013,114.977603415,135.653900150,0
1577.618954279,116.558121622,135.673217770,0
1577.639787544,116.450141342,135.435180660,0
1577.660620808,119.125092809,135.342926030,0
1577.681454072,116.697138781,135.432403560,0
1577.702287335,113.859790400,135.190475460,0
1577.723120598,114.914863096,135.315185550,0
1577.743953860,118.379638114,135.050811770,0
1577.764787121,117.695633813,135.473312380,0
1577.785620381,119.489453821,135.162750240,0
1577.806453641,120.433229385,135.220825200,0
1577.827286900,119.227643408,135.379577640,0
1577.848120158,120.902325947,135.478393550,0
1577.868953416,120.587463478,135.337371830,0
1577.889786673,118.356734955,135.282928470,0
1577.910619929,117.641882107,135.316375730,0
1577.931453184,116.893935395,135.595764160,0
1577.952286439,120.811872600,135.147476200,0
1577.973119693,123.122574489,134.885787960,0
1577.993952946,122.485556584,135.048950200,0
1578.014786199,123.054739110,135.028900150,0
1578.035619451,121.992539488,135.242233280,0
1578.056452702,123.649217408,135.248138430,0
1578.077285952,121.017632371,135.506210330,0
1578.098119202,120.949824909,135.033813480,0
1578.118952451,116.719489661,135.250930790,0
1578.139785699,120.171354415,135.260711670,0
1578.160618946,120.254155285,135.035278320,0
