#first HST orbit is affected by the ramp effect 
Time (MJD), Luh16A_flux, Luh16B_flux,Luh16A_flux_err,Luh16B_flux_err 
     59707.3912, 3.516e-11, 4.048e-11, 5.757e-14, 6.604e-14
     59707.3915, 3.517e-11, 4.048e-11, 5.778e-14, 6.568e-14
     59707.3918, 3.512e-11, 4.053e-11, 5.75e-14, 6.599e-14
     59707.3921, 3.517e-11, 4.049e-11, 5.782e-14, 6.863e-14
     59707.3924, 3.52e-11, 4.052e-11, 5.764e-14, 6.58e-14
     59707.3927, 3.515e-11, 4.053e-11, 5.753e-14, 6.602e-14
      59707.393, 3.519e-11, 4.054e-11, 5.774e-14, 6.578e-14
     59707.3933, 3.515e-11, 4.048e-11, 5.748e-14, 6.587e-14
     59707.3936, 3.526e-11, 4.053e-11, 5.899e-14, 6.598e-14
     59707.3939, 3.521e-11, 4.057e-11, 5.886e-14, 6.609e-14
     59707.3942, 3.518e-11, 4.055e-11, 5.762e-14, 6.582e-14
     59707.3945, 3.522e-11, 4.064e-11, 5.789e-14, 6.621e-14
     59707.3948, 3.518e-11, 4.066e-11, 5.775e-14, 6.629e-14
     59707.3951, 3.52e-11, 4.057e-11, 5.876e-14, 6.592e-14
     59707.3954, 3.524e-11, 4.063e-11, 5.798e-14, 6.621e-14
     59707.3957, 3.52e-11, 4.058e-11, 5.769e-14, 6.618e-14
      59707.396, 3.523e-11, 4.063e-11, 5.781e-14, 6.632e-14
     59707.3963, 3.522e-11, 4.062e-11, 5.774e-14, 6.627e-14
     59707.3966, 3.52e-11, 4.066e-11, 5.781e-14, 6.632e-14
     59707.3969, 3.524e-11, 4.067e-11, 5.788e-14, 6.634e-14
     59707.3972, 3.523e-11, 4.068e-11, 5.787e-14, 6.652e-14
     59707.3975, 3.522e-11, 4.07e-11, 5.766e-14, 6.635e-14
     59707.3978, 3.526e-11, 4.066e-11, 5.885e-14, 6.606e-14
     59707.3981, 3.524e-11, 4.067e-11, 5.783e-14, 6.632e-14
     59707.3984, 3.526e-11, 4.07e-11, 5.778e-14, 6.634e-14
     59707.3987, 3.529e-11, 4.072e-11, 5.79e-14, 6.651e-14
      59707.399, 3.53e-11, 4.071e-11, 5.8e-14, 6.646e-14
     59707.4356, 3.559e-11, 4.159e-11, 5.837e-14, 6.804e-14
     59707.4359, 3.559e-11, 4.164e-11, 5.832e-14, 6.789e-14
     59707.4362, 3.566e-11, 4.165e-11, 5.84e-14, 6.795e-14
