TIME	PSF_FLUX_NORM	PSF_EFLUX	X_POSITION	Y_POSITION	DQUALITY
2298.569084435	0.964779083040037	0.04534461690288174	540.1472	156.2624	0
2298.576028935	0.9919650871423606	0.04662235909569095	540.1469	156.2634	0
2298.582973435	0.9681931889668056	0.04550507988143986	540.1475	156.2627	0
2298.589917935	0.9896880425776063	0.046515338001147495	540.1475	156.2633	0
2298.596862435	0.9644145616495633	0.045327484397529476	540.1474	156.2641	0
2298.603806935	1.001778381084242	0.047083583910959376	540.1473	156.2621	0
2298.610751435	0.9782834245150088	0.045979320952205416	540.1482	156.2646	0
2298.617695934	1.0192278337291247	0.047903708185268866	540.1476	156.2626	0
2298.624640434	1.0090218972077964	0.04742402916876643	540.1475	156.2629	0
2298.631584933	1.0049326929852513	0.047231836570306815	540.1459	156.2601	0
2298.638529433	1.0187973136377049	0.04788347374097213	540.1482	156.2649	0
2298.645473932	1.0010746849888301	0.047050510194475016	540.1476	156.2619	0
2298.652418432	1.008041804585344	0.047377964815511174	540.1475	156.2647	0
2298.659362931	0.9983468480844641	0.04692230185996981	540.148	156.2634	0
2298.66630743	1.0088471492935778	0.04741581601679815	540.1456	156.2621	0
2298.673251929	1.019593173684569	0.04792087916317474	540.1466	156.2631	0
2298.680196429	1.0263436014869898	0.04823814926988852	540.1476	156.2641	0
2298.687140928	1.0065068597960116	0.04730582241041255	540.1462	156.2622	0
2298.694085427	1.0153259149181713	0.04772031800115405	540.1473	156.2646	0
2298.701029926	0.9968490128783923	0.04685190360528444	540.1479	156.261	0
2298.707974425	0.990420833478431	0.04654977917348626	540.1476	156.2645	0
2298.714918924	1.002999912527836	0.04714099588880829	540.1466	156.2637	0
2298.721863423	0.9892769703764824	0.04649601760769467	540.1472	156.2627	0
2298.728807922	0.995464000783002	0.046786808036801096	540.1461	156.2634	0
2298.735752421	1.0367313587441604	0.048726373860975544	540.1482	156.2637	0
2298.742696919	1.0333180391357262	0.04856594783937913	540.1469	156.2633	0
2298.749641418	1.01317400634306	0.04761917829812382	540.1491	156.2636	0
2298.756585917	1.0126971392398612	0.04759676554427347	540.1462	156.2613	0
2298.763530415	1.0214665730514807	0.04800892893341959	540.1461	156.262	0
2298.770474914	1.000555692474657	0.04702611754630888	540.1466	156.2622	0
2298.777419412	0.987304997118217	0.046403334864556195	540.146	156.263	0
2298.784363911	0.9751981015270939	0.04583431077177341	540.1469	156.2633	0
2298.791308409	0.9878437015414131	0.046428653972446415	540.147	156.2642	0
2298.798252907	0.9796171939935465	0.04604200811769669	540.147	156.2623	0
2298.805197406	0.979056509206203	0.046015655932691545	540.149	156.264	0
2298.812141904	0.9725385365900363	0.04570931121973171	540.1462	156.2625	0
2298.819086402	0.9824192036011555	0.04617370256925431	540.146	156.2634	0
2298.8260309	0.9948040831331307	0.04675579190725714	540.147	156.2628	0
2298.832975398	0.9769773497423772	0.04591793543789173	540.146	156.2602	0
2298.839919897	0.9868555028442212	0.046382208633678396	540.1476	156.2654	0
2298.846864395	0.9702313405229016	0.045600873004576374	540.1477	156.2628	0
2298.853808892	0.9868474043313874	0.04638182800357521	540.1448	156.2614	0
2298.86075339	0.9951247117909047	0.04677086145417252	540.1474	156.2651	0
2298.867697888	0.9966359923215601	0.04684189163911332	540.1449	156.2614	0
2298.874642386	0.9890758163064138	0.04648656336640145	540.1456	156.2612	0
2298.881586884	1.001817789179097	0.047085436091417555	540.1453	156.2596	0
2298.888531381	0.9856343695540867	0.04632481536904207	540.1466	156.2638	0
2298.895475879	1.0173578281384383	0.0478158179225066	540.1467	156.2639	0
